WB_name	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96	97	98	99	100
SE542200-113400	0	0.170473155	0.340914471	0.511414625	0.682064293	0.852954151	1.024174874	1.195817138	1.36797162	1.540728994	1.714179938	1.888415127	2.063524551	2.239564475	2.416542752	2.594463488	2.773330791	2.953148768	3.133915658	3.315576924	3.49805013	3.681252585	3.865101598	4.049515027	4.234466694	4.420033816	4.606304783	4.793367985	4.981311815	5.170207583	5.360034462	5.550740691	5.742274486	5.934584064	6.127626255	6.321460215	6.516212174	6.712009529	6.908979677	7.107247925	7.306899451	7.507983288	7.710547179	7.914638869	8.120305283	8.327580303	8.536487343	8.747049518	8.959289947	9.173223798	9.388809182	9.605979286	9.82466719	10.04480614	10.26636428	10.4893869	10.71392964	10.94004813	11.16780311	11.39730167	11.62867573	11.86205743	12.09757898	12.33537517	12.57558393	12.81834345	13.06379126	13.31199632	13.56289759	13.81641947	14.07248698	14.33107559	14.59225058	14.85608649	15.12265791	15.39204069	15.6643121	15.93954947	16.21783125	16.49924451	16.78388044	17.07183169	17.36336926	17.65911219	17.95971968	18.2659633	18.57928639	18.90138089	19.23399139	19.57940221	19.94021612	20.31859447	20.71378709	21.12402549	21.5593677	22.04998705	22.60404057	23.16047756	23.89315442	24.98157142	30
SE543550-104000	0	0.169009972	0.338016104	0.507054866	0.676162725	0.845376149	1.014731606	1.184265564	1.354014491	1.524014855	1.694303124	1.864915767	2.035889192	2.20724886	2.378996461	2.551130565	2.723649744	2.896552568	3.069837709	3.243507695	3.417570029	3.592032538	3.766903055	3.942189408	4.11789941	4.294040676	4.470620695	4.647646952	4.825126934	5.003068128	5.181481389	5.360390369	5.539821758	5.719802249	5.900358532	6.081517333	6.263306398	6.445754642	6.628891043	6.812744578	6.997344225	7.182717932	7.368889354	7.555881027	7.743715483	7.932415257	8.122003303	8.312507918	8.503961065	8.696394783	8.889841107	9.084332373	9.279910521	9.476628941	9.674541689	9.873702823	10.07416656	10.27599441	10.47925821	10.68403055	10.89038403	11.09839182	11.30814183	11.5197379	11.73328463	11.94888661	12.1666474	12.38666172	12.60901994	12.83381242	13.06112975	13.29109035	13.52386404	13.75962618	13.99855216	14.24089292	14.48720714	14.73813183	14.99430402	15.25626581	15.52415378	15.79799622	16.07782529	16.36404028	16.6577047	16.95995196	17.27178516	17.5934341	17.92484443	18.26684313	18.62727258	19.01732566	19.44577593	19.91280269	20.41874315	20.97806651	21.61852125	22.40032147	23.39182056	24.95933542	31
SE545500-105150	0	0.103906564	0.207870264	0.311920759	0.416087707	0.520400765	0.624889592	0.729583845	0.834513183	0.939707264	1.045195744	1.151008284	1.257174539	1.363724169	1.470686831	1.578092183	1.685969883	1.794349589	1.903260959	2.012733652	2.122797812	2.233484962	2.344826868	2.456855294	2.569602006	2.68309877	2.79737735	2.912469513	3.028407036	3.145223334	3.262955045	3.381639187	3.501312777	3.622012832	3.743776371	3.866640409	3.990641965	4.115816946	4.242195701	4.369806839	4.498678966	4.628840692	4.760320625	4.893147372	5.02734955	5.16295755	5.300005689	5.438528807	5.578561748	5.720139355	5.863296468	6.00806793	6.154486144	6.302575255	6.452357654	6.603855735	6.757091893	6.912088521	7.068869888	7.227519192	7.388188938	7.551035604	7.716215665	7.883885599	8.054201864	8.227319808	8.40339297	8.582574727	8.765018453	8.950877524	9.140305896	9.333462777	9.53051016	9.731610064	9.936924511	10.14666055	10.36149506	10.5823844	10.81028861	11.04616854	11.29117123	11.5468675	11.8148868	12.09689408	12.39661833	12.72095151	13.07704016	13.46948632	13.89734117	14.35907137	14.85433903	15.38353724	15.9485221	16.55281866	17.20440836	17.91407893	18.69703766	19.58344739	20.6498292	22.20270548	31
SE545900-133001	0	0.247447253	0.495082366	0.743025057	0.991395045	1.240312048	1.489895782	1.740265967	1.99154232	2.243859653	2.497419558	2.752442091	3.009147304	3.267678919	3.527906141	3.789636488	4.052677692	4.316882605	4.582204783	4.848611413	5.116070046	5.38456004	5.654074792	5.924608518	6.196160243	6.468774978	6.742523297	7.01747605	7.293700068	7.571248892	7.850173318	8.130526743	8.41243356	8.696095959	8.981720096	9.269448908	9.559119019	9.850474408	10.14326852	10.43748486	10.7333439	11.03107701	11.33098017	11.63353916	11.93927442	12.24865597	12.56178461	12.87859697	13.19905291	13.52344502	13.85230899	14.18617334	14.52533885	14.86990936	15.21996087	15.57528136	15.93545202	16.3001412	16.66964843	17.04453929	17.42559385	17.81419416	18.21182032	18.61980675	19.03935278	19.47132478	19.91559344	20.37196007	20.84106873	21.32395308	21.82194238	22.33647132	22.86794153	23.41594729	23.97914202	24.5560874	25.14702409	25.7521803	26.37097531	27.00480516	27.65591755	28.32368086	29.00879457	29.71352401	30.43797503	31.18244981	31.9466773	32.72867563	33.52903875	34.34972284	35.19190981	36.05589759	36.94382134	37.86062253	38.81083509	39.80365392	40.8639905	42.0179606	43.29361306	44.94023708	49
SE550800-094700	0	0.130793388	0.261815718	0.393083551	0.524613445	0.656421959	0.788525652	0.920941084	1.053684814	1.186773401	1.320223403	1.454051381	1.588273892	1.722907497	1.857968755	1.993474224	2.129461308	2.266063735	2.403443044	2.541760774	2.681178467	2.821857663	2.963959902	3.107641621	3.253014562	3.400167329	3.549188335	3.70016599	3.853188704	4.008344886	4.165694778	4.325202606	4.486812148	4.650467187	4.816111503	4.983688875	5.153157861	5.324556153	5.49794782	5.67339695	5.850967632	6.030723966	6.212734354	6.397077635	6.583834202	6.773084448	6.964908765	7.159396928	7.356704045	7.557013024	7.760506872	7.967368599	8.177760873	8.391715506	8.609212497	8.830231713	9.054754102	9.282901693	9.515076273	9.751712588	9.993245386	10.24006213	10.49234477	10.75021944	11.01381226	11.28325603	11.5587063	11.84032349	12.12827445	12.42292235	12.72485838	13.0346863	13.35276848	13.67877212	14.01223999	14.35298566	14.70179417	15.05966799	15.42749053	15.8058518	16.19528296	16.59597879	17.00779574	17.4309522	17.86709158	18.31829109	18.78762284	19.27881845	19.79693232	20.3478629	20.93378656	21.55624893	22.22826177	22.96191341	23.77047341	24.69676922	25.7314892	26.97314317	28.80072587	32.37873773	35
SE551200-193000	0	0.620101054	1.240769103	1.862817027	2.486958492	3.113125047	3.740983492	4.370447666	5.001449789	5.633938503	6.267980528	6.903586408	7.540666463	8.179158931	8.8190336	9.46029613	10.10298766	10.74717751	11.39296365	12.04049192	12.68989771	13.34117572	13.99435868	14.64954558	15.30684845	15.96640297	16.62836136	17.29284604	17.95996575	18.6298317	19.30259408	19.9784375	20.65752783	21.33983987	22.02542117	22.71442027	23.40691651	24.10330867	24.80406566	25.50935333	26.22125103	26.94095663	27.66683371	28.39930781	29.1388371	29.88539105	30.63945892	31.40248383	32.17469016	32.95503751	33.74298301	34.53842938	35.34193767	36.15478355	36.97779694	37.80997244	38.65108767	39.50208922	40.36380217	41.23658689	42.12050897	43.01544387	43.92219411	44.84199938	45.77645488	46.73321056	47.70591877	48.69067961	49.68800637	50.69934217	51.72628471	52.76855327	53.82611568	54.89892529	55.98748962	57.09083451	58.20830069	59.34071284	60.48941881	61.65896179	62.85016488	64.06060665	65.29195865	66.55479361	67.85501095	69.18816656	70.55435033	71.95306954	73.38651277	74.85818047	76.3794298	77.96718657	79.60522161	81.31832302	83.12381331	85.03463894	87.16067425	89.60218802	92.77293891	97.07860127	114
SE551700-130851	0	0.066628529	0.133206602	0.199747226	0.266263408	0.332768156	0.399274476	0.465795377	0.532343865	0.598932948	0.665575633	0.732284927	0.799073838	0.865955373	0.932942539	1.000048344	1.067285795	1.134667899	1.202207664	1.269918097	1.337812205	1.405902996	1.474203476	1.542726654	1.611485536	1.68049313	1.749762443	1.819306482	1.889138255	1.95927077	2.029716646	2.100475197	2.17152939	2.242861192	2.314452565	2.386285476	2.458341888	2.530603767	2.603053078	2.675671784	2.748441852	2.821345245	2.894363929	2.967479868	3.040678246	3.114002026	3.187544144	3.261399183	3.335661727	3.410426361	3.485787666	3.561840227	3.638678627	3.71639745	3.795091279	3.874854699	3.955782291	4.037968272	4.121496533	4.206439508	4.292869034	4.380856948	4.470475088	4.56179529	4.654889391	4.749829229	4.846686641	4.945533463	5.046439969	5.14943215	5.254486541	5.361577075	5.470677683	5.581762298	5.694804852	5.809779277	5.926659505	6.045434801	6.166764933	6.292226386	6.423461737	6.562113561	6.709824432	6.868236926	7.038993158	7.223659805	7.423645098	7.640337278	7.875124586	8.129446588	8.405929081	8.708387291	9.040686902	9.405402053	9.801459239	10.2287684	10.72049793	11.34344999	12.2181278	13.46964424	17
SE552050-133751	0	0.111580068	0.223135502	0.334685355	0.446248681	0.557844534	0.669491967	0.781210036	0.893017793	1.004934293	1.116978589	1.229169736	1.341526787	1.454068797	1.566814818	1.679783906	1.792995114	1.906467495	2.020220077	2.134264022	2.248591796	2.363193154	2.478057847	2.593175627	2.708536246	2.824129457	2.939945011	3.055973635	3.172230464	3.288756202	3.40559276	3.522782048	3.640365979	3.758386461	3.876885408	3.995904729	4.115480318	4.235621381	4.356329732	4.477607184	4.599455549	4.721876641	4.844872273	4.968444258	5.092589847	5.217265978	5.342408566	5.467953344	5.593836047	5.719992406	5.846358156	5.97286903	6.099495278	6.226474348	6.354168349	6.482940089	6.613152378	6.745168026	6.879349843	7.016060498	7.155539815	7.297679697	7.442310874	7.589264079	7.738370044	7.889459502	8.042364353	8.197027353	8.353591826	8.512222205	8.673082924	8.83633842	9.002153125	9.170592256	9.341339199	9.5139855	9.688122708	9.863342369	10.03924113	10.21623788	10.39647271	10.58230202	10.77608217	10.98016955	11.19668089	11.42645953	11.66992756	11.92750679	12.19982055	12.4893793	12.79972479	13.13454811	13.50319468	13.92250642	14.40371495	14.91691257	15.46205084	16.33191231	17.03658572	19.2742916	23
SE552500-124461	0	0.062958056	0.124738429	0.185427693	0.245112426	0.303879204	0.361814603	0.4190052	0.47553757	0.53149829	0.586973937	0.642051086	0.696816313	0.751356196	0.80575731	0.860106232	0.914489538	0.968993804	1.023705607	1.078711523	1.134098127	1.189951997	1.246359709	1.303407839	1.361182963	1.419771657	1.479260498	1.539736063	1.601284926	1.663993666	1.727948857	1.793237077	1.859944901	1.928158906	1.997965668	2.069373089	2.142045968	2.215555597	2.289473268	2.36337027	2.436817894	2.509387431	2.58065017	2.650177404	2.717540421	2.782310513	2.844058971	2.902357084	2.956776143	3.00688847	3.052788808	3.09594203	3.138034904	3.180754196	3.225786676	3.274819109	3.329538265	3.39163091	3.462783812	3.544683738	3.639017456	3.747471734	3.871733339	4.013488001	4.17257256	4.343163373	4.518357245	4.691250977	4.854941372	5.002525233	5.127099362	5.221760563	5.279605637	5.293731388	5.257234618	5.163212129	5.004760725	4.78052667	4.513051962	4.231308975	3.964270175	3.740908025	3.59019499	3.541103533	3.622606117	3.863675209	4.29328327	4.940402766	5.83400616	6.98581694	8.295849583	9.619618019	10.81252136	11.72995874	12.22732925	12.16003203	11.38346618	9.753030833	7.124125095	4.612695548	9
SE552670-142281	0	0.140448983	0.280790295	0.421084483	0.561392094	0.701773673	0.842289767	0.983000924	1.123967688	1.265250608	1.406910229	1.549007097	1.69160176	1.834754764	1.978526655	2.122969827	2.268085399	2.413854603	2.560258628	2.707278661	2.854895891	3.003091507	3.151861815	3.301259935	3.451352326	3.602205451	3.753885772	3.90645975	4.059992909	4.21451213	4.36999275	4.52640652	4.683725195	4.841920527	5.000964269	5.160832533	5.321518548	5.483019747	5.645333564	5.80845743	5.972388778	6.137135832	6.302778829	6.469427496	6.637191646	6.806181092	6.97650565	7.148263545	7.321482707	7.496164706	7.672311062	7.849923299	8.029002999	8.209574371	8.391717928	8.575522791	8.761078081	8.948472921	9.1377811	9.328932109	9.521776277	9.716163117	9.911942142	10.10900265	10.30795807	10.51005349	10.71655519	10.92872947	11.14774923	11.37371875	11.60606072	11.84418682	12.08751823	12.33595994	12.59012037	12.85066331	13.11825609	13.39367568	13.67782785	13.97162569	14.27591306	14.5911652	14.91773516	15.25600565	15.60661518	15.9703327	16.34819028	16.74255359	17.15618971	17.59086057	18.04692237	18.52623156	19.03540285	19.57808112	20.14566965	20.76729357	21.54339586	22.51257879	23.69732239	25.36105874	31
